,0,1
0,1030057.1640058623,-793123.1889244574
1,-1224992.288734672,-435265.4896383252
2,-1717326.421757659,1653974.5038024003
3,2961409.4356508576,5329236.189153264
4,-4646292.252390933,-4346578.154923156
5,4209129.038455287,-4771164.018257566
6,382418.24158976425,-523001.1903403639
7,-444389.8467340977,471478.1232652158
8,-501856.01152996277,-409773.71839746233
9,-157575.42155578051,628445.6564569151
10,304344.9328283146,571968.6341573055
11,-1270207.5545964108,1672215.5729671037
12,6162682.604186282,-131701.90076784574
13,3875512.681791736,-1761757.3951265928
14,4756197.806494861,1692143.009526383
15,-4524918.996800782,2238274.6952925436
16,-1152589.872429782,-620492.2772732741
17,1619602.2451367304,1950278.5684139025
18,-489478.0011209856,2487390.0404410088
19,-1088318.4581499815,2289598.4059473327
20,-4862541.149907847,2311319.4319197466
21,-1940090.3464223216,3526799.623143806
22,4014608.2222073833,291868.04599553504
23,-2327881.1262637964,-4904857.284865603
